"Web4pro Emails","Web4pro Emails"
"Web4pro Abandoned Cart","Web4pro брошенная корзина"
"Orders from Abandoned Carts","Заказы сделанные из брошенных корзин"
"Emails Sent from Abandoned Cart","Отосланные письма"
"Sent At","Дата отправки"
"Mail Type","Тип email"
"Coupon #","№ купона"
"Coupon type","Тип купона"
"Coupon amount","Размер скидки"
"Order #","№ заказа"
"Purchased From","Магазин"
"Purchased On","Дата покупки"
"Bill to Name","Оплата на имя"
"Ship to Name","Доставка на имя"
"G.T. (Base)","Сумма(основная)"
"G.T. (Purchased)","Сумма(окончательная)"
"Status","Статус"
"Store","Магазин"
"Sent At","Дата отправки"
"Customer Email","Email Клиента"
"Customer Name","Имя клиента"
"Your abandoned cart token is not valid or incorrect","Ваш токен брошенной корзины не действителен или неправильный"
"General","Общее"
"Please, login to complete your order","Пожалуйста, залогиньтесь для завершения заказа"
"Abandoned","Брошенный"
"Last 24 Hours","Последние 24 часа"
"Last 7 Days","Последние 7 Days"
"Last 30 Days","Последние 30 Days"
"Last 60 Days","Последние 60 Days"
"Last 90 Days","Последние 90 Days"
"Lifetime","Все время"
"My Abandoned Carts","Мои брошенные корзины"
"Log activated","Включить логирование"
"First date","Первая дата отправки"
"Carts will be ignored before this date!","Корзины до этой даты будут игнорироваться!"
"Sender","Отправитель"
"Redirect page","Перенаправление на страницу"
"Url to redirect the customer", "Url перенаправления клиента"
"Max number of email to send","Максималное количество email"
"Number of emails to be send","Количество email для отправки"
"First Email Subject","Тема первого email"
"The subject for the first email abandoned cart","Тема для первого email брошенной корзины"
"First Email Template","Шаблон первого Email"
"Send email after","Отправить email после"
"This value depends of the next unit parameter","Это значение зависит от следующего параметра измерения"
"Unit","Единица измерения"
"Enter the unit for considering in the first email","Введите единицу измерения для вышеуказанного email"
"Second Email Subject","Вторая тема email"
"The subject for the second email abandoned cart","Тема второго email брошенной корзины"
"This value is the days and is set since the moment cart was abandoned.","Это значение в днях с тех пор как корзина была брошена."
"The subject for the third email abandoned cart","Тема шаблона третьего email"
"Choose customer group","Выберите группу пользователя"
"The client will be autologed when click on link in email he receive","Клиент будет залогинен автоматически после того как он кликнет на линк в сообщении email."
"What email number to be set with?","С каким email ассоциировать купон на скидку"
"The code of an existing coupon","Введите номер существующего купона на скидку"
"The coupon expiration in days","Время устаревания купона в днях"
"The coupon length","Длинна купона"
"Select percentage or fixed discount","Выберите тип скидки: в процентах или фиксированные размер"
"Set discount amount","Установите размер скидки"
"Set coupon label","Задайте название купона"